iter	RMSE
676	69698.76859
677	69552.20216
678	69497.86631
679	69484.78535
680	69407.82038
681	69333.21702
682	69315.77305
683	69034.34028
684	68836.1056
685	68751.38752
686	68592.58327
687	68455.09405
688	68383.9476
689	68269.582
690	68072.94366
691	68003.75657
692	67961.69153
693	67770.47206
694	67733.27957
695	67714.83423
696	67663.91496
697	67545.12247
698	67508.95423
699	67232.27161
700	67124.26921
701	67106.70261
702	67070.39987
703	66958.98151
704	66864.4216
705	66732.35257
706	66666.28501
707	66442.70595
708	66407.20603
709	66386.01697
710	66277.63755
711	66230.98984
712	66195.66529
713	66148.13861
714	65931.10508
715	65831.38282
716	65805.32658
717	65716.53632
718	65702.48965
719	65679.20379
720	65653.41674
721	65646.47047
722	65583.40953
723	65566.77457
724	65540.45021
725	65531.77247
726	65460.19119
727	65425.18191
728	65403.43186
729	65389.5221
730	65364.07489
731	65172.14253
732	64980.3729
733	64718.44316
734	64538.22971
735	64487.9036
736	64471.45153
737	64322.64945
738	64183.43509
739	64174.92135
740	64154.11588
741	64071.75834
742	64049.1386
743	64000.66373
744	63993.89411
745	63935.14663
746	63878.25034
747	63850.69647
748	63715.08137
749	63680.77772
750	63625.50932
751	63610.15858
752	63592.7529
753	63461.04252
754	63368.91409
755	63315.05625
756	63211.96385
757	63187.62767
758	63138.21741
759	63114.1204
760	63068.88495
761	62945.81882
762	62763.00249
763	62732.1534
764	62679.46729
765	62618.9704
766	62583.52212
767	62559.86853
768	62523.88938
769	62471.34657
770	62421.73206
771	62393.48465
772	62367.35026
773	62185.97011
774	62066.34455
775	62058.88622
776	62001.62962
777	61978.64131
778	61928.57952
779	61711.16524
780	61662.55533
781	61646.69427
782	61590.88537
783	61570.72138
784	61425.72436
785	61338.97984
786	61294.75081
787	61247.42617
788	61181.54303
789	61171.07179
790	61152.03337
791	61089.24363
792	61040.28394
793	60969.71057
794	60953.33259
795	60935.48575
796	60925.10317
797	60905.5641
798	60889.43726
799	60772.8847
800	60762.52606
801	60748.26363
802	60712.84536
803	60674.99845
804	60626.4774
805	60584.36937
806	60555.55648
807	60455.36192
808	60448.95997
809	60398.79288
810	60382.06632
811	60364.65997
812	60222.07372
813	60106.83691
814	59941.99599
815	59931.34902
816	59720.61137
817	59675.5527
818	59435.13362
819	59413.6537
820	59343.32126
821	59249.431
822	59087.10284
823	59009.63811
824	58941.77443
825	58911.87913
826	58894.89501
827	58805.79093
828	58771.01427
829	58759.59507
830	58745.97204
831	58732.75668
832	58700.54828
833	58666.8856
834	58631.9739
835	58572.37242
836	58500.79891
837	58214.31391
838	58200.733
839	58138.73342
840	57981.49458
841	57748.44998
842	57641.64412
843	57605.1635
844	57562.24221
845	57520.79559
846	57451.08934
847	57410.92569
848	57397.44512
849	57367.82529
850	57345.41059
851	57299.43101
852	57285.65032
853	57160.55107
854	57058.29235
855	57019.05286
856	56995.03182
857	56928.53251
858	56828.94731
859	56782.30506
860	56760.54999
861	56608.63486
862	56380.18495
863	56341.74643
864	56313.24495
865	56214.88892
866	56067.90718
867	56030.49686
868	55998.41975
869	55919.03384
870	55908.62611
871	55900.45622
872	55831.91721
873	55683.85176
874	55642.4413
875	55436.90423
876	55359.9589
877	55323.24932
878	55315.36944
879	55293.67449
880	55283.00221
881	55261.59791
882	55255.21769
883	55191.64744
884	55098.71584
885	55066.15341
886	55050.74763
887	54908.39874
888	54865.31523
889	54856.66813
890	54794.04251
891	54727.63812
892	54679.75267
893	54551.69793
894	54490.61229
895	54467.9362
896	54402.88626
897	54363.17142
898	54346.19424
899	54297.94751
900	54237.64396
901	54229.06781
902	54215.40372
903	54175.55454
904	54158.51564
905	54116.31964
906	54099.87132
907	54062.95723
908	54030.73009
909	53996.62446
910	53951.64601
911	53893.86549
912	53861.79864
913	53846.54537
914	53809.82877
915	53778.31525
916	53766.85314
917	53707.40687
918	53691.84988
919	53679.12564
920	53596.96484
921	53554.71605
922	53413.25675
923	53397.86968
924	53209.72786
925	53176.20258
926	53169.17324
927	53031.23859
928	53009.5391
929	52887.47918
930	52843.38142
931	52706.52508
932	52668.86353
933	52661.74507
934	52602.63654
935	52545.95955
936	52516.11467
937	52498.03977
938	52449.56163
939	52311.07052
940	52224.75342
941	52158.6327
942	52144.07909
943	52049.31739
944	51981.68787
945	51956.56661
946	51834.46143
947	51805.21261
948	51765.48213
949	51725.66992
